index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4622,564035,ASASSN-V J165024.13-280422.4,RRAB,0.146,14.37,4756.138,0.51695,0.0323
4623,455055,ASASSN-V J145053.75-760245.8,RRAB,0.2232,13.85,3783.917,0.60731,0.0126
4624,AP38361560,ASASSN-V J104238.93-714925.9,RRAB,0.7284,14.54,1311.48,0.498679,0.0165
4625,467093,ASASSN-V J185814.51-344035.4,RRAB,0.1433,14.83,4851.303,0.58353,0.0342
4626,450048,ASASSN-V J183919.02-362627.6,RRAB,0.0535,15.33,8283.461,0.54823,0.0347
4627,454691,ASASSN-V J203527.97+044255.3,RRAB,0.0815,15.06,6530.91,0.44621,0.033
4628,559978,ASASSN-V J194929.05+613344.9,RRAB,0.059,15.36,7262.808,0.56197,0.0277
4629,492673,ASASSN-V J185847.42-183105.3,RRAB,0.1573,15.11,4083.745,0.54332,0.0395
4630,464629,ASASSN-V J193725.12-562215.6,RRAB,0.1502,14.6,5428.454,0.52163,0.0197
4631,565598,ASASSN-V J143035.91-662546.2,RRAB,0.2164,14.52,3749.887,0.48219,0.0221
4632,AP47545039,ASASSN-V J154924.76-730109.7,RRAB,0.0379,15.78,7355.603,0.548873,0.0363
4633,460511,ASASSN-V J175950.00+002115.6,RRAB,0.1527,15.81,4413.587,0.57307,0.046
4634,483359,ASASSN-V J072444.71-075908.8,RRAB,0.1842,14.73,4153.893,0.53365,0.0196
4635,468840,ASASSN-V J191656.37-352834.7,RRAB,0.1313,14.58,4476.631,0.49128,0.0432
4636,476200,ASASSN-V J181404.77-371109.5,RRAB,0.0604,14.11,6705.956,0.51211,0.0331
4637,480399,ASASSN-V J171820.19-044038.9,RRAB,0.1708,16.47,4079.882,0.52472,0.0548
4638,489617,ASASSN-V J163717.33-641939.8,RRAB,0.0662,13.79,7454.822,0.63011,0.0248
4639,460955,ASASSN-V J190149.98+210107.0,RRAB,0.2724,14.67,3257.682,0.57647,0.0202
4640,448562,ASASSN-V J214357.89+265603.7,RRAB,0.0628,15.5,6763.744,0.68871,0.0324
4641,563482,ASASSN-V J041927.66+622017.2,RRAB,0.2857,15.2,3192.261,0.6526,0.025
4642,471178,ASASSN-V J205939.36+264732.2,RRAB,0.1048,14.86,5384.492,0.46016,0.0308
4643,482233,ASASSN-V J133632.95-695142.0,RRAB,0.189,15.43,4253.713,0.4304,0.0244
4644,AP59583717,ASASSN-V J184405.04-411945.9,RRAB,0.1044,15.33,6723.623,0.633604,0.0311
4645,508756,ASASSN-V J183953.05-312524.6,RRAB,0.0823,14.21,7875.288,0.597856,0.0334
4646,452685,ASASSN-V J171651.59+045001.9,RRAB,0.1249,16.51,5019.586,0.52305,0.0512
4647,450016,ASASSN-V J183323.93-371512.6,RRAB,0.1231,15.18,5306.278,0.34247,0.0309
4648,502650,ASASSN-V J183132.50+233332.0,RRAB,0.2959,15.44,4419.123,0.67416,0.1833
4649,454557,ASASSN-V J103046.46-761858.9,RRAB,0.0671,15.92,9003.373,0.67445,0.028
4650,507797,ASASSN-V J103422.69-442003.8,RRAB,0.081,14.57,6630.65,0.63836,0.0193
4651,448648,ASASSN-V J170455.75+022352.9,RRAB,0.2223,15.28,3684.795,0.55337,0.0375
4652,488722,ASASSN-V J194029.66-163327.7,RRAB,0.177,14.79,4010.656,0.45768,0.0278
4653,454759,ASASSN-V J191200.30-292558.7,RRAB,0.133,15.34,4943.768,0.51746,0.038
4654,510124,ASASSN-V J182906.15-432900.7,RRAB,0.0995,15.3,6082.993,0.44464,0.0347
4655,449377,ASASSN-V J162514.57-704918.7,RRAB,0.1443,14.75,4968.395,0.57474,0.0189
4656,507648,ASASSN-V J101705.38-461200.2,RRAB,0.1764,14.6,4387.44,0.60408,0.0177
4657,559778,ASASSN-V J185606.46-384842.8,RRAB,0.0599,15.94,5314.626,0.50804,0.0519
4658,28388039,ASASSN-V J184326.44-221412.1,RRAB,2.1709,15.58,8120.954,0.626693,0.6598
4659,454267,ASASSN-V J181845.47+201945.7,RRAB,0.1581,14.56,5173.739,0.59197,0.0223
4660,471970,ASASSN-V J060809.71-000423.8,RRAB,0.2313,14.74,3450.693,0.48832,0.0218
4661,452149,ASASSN-V J180640.35+195455.5,RRAB,0.1263,15.12,5727.989,0.53328,0.0268
4662,55149187,ASASSN-V J140344.78-330627.9,RRAB,0.5113,14.43,1790.748,0.460546,0.0324
4663,466938,ASASSN-V J184651.14-345053.1,RRAB,0.0656,14.49,6413.816,0.55841,0.034
4664,494445,ASASSN-V J165503.70-211813.1,RRAB,0.2197,14.47,3982.008,0.638279,0.0224
4665,469476,ASASSN-V J190733.99-272851.0,RRAB,0.0706,15.29,8817.423,0.56365,0.0378
4666,AP53369528,ASASSN-V J165427.66-281035.6,RRAB,0.5536,12.71,1727.689,0.626383,0.0152
