index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
478,AP38305013,ASASSN-V J114018.64-741236.4,RRC,0.1069,15.74,6229.217,0.369536,0.0226
479,AP52838539,ASASSN-V J151407.59-404213.2,RRC,0.3792,12.45,1901.177,0.36004,0.1087
480,AP52690039,ASASSN-V J152826.39-464528.3,RRC,0.1226,15.68,8061.402,0.256969,0.0737
481,655461,ASASSN-V J093255.50-181301.4,RRC,0.0836,15.38,5535.338,0.309942,0.0296
482,AP38918973,ASASSN-V J092507.22-634858.1,RRC,0.3608,14.64,2513.895,0.332493,0.016
483,AP16103236,ASASSN-V J214815.44+743615.6,RRC,0.2494,14.72,3706.909,0.343091,0.0171
484,AP50218727,ASASSN-V J141435.89-554414.0,RRC,0.2484,14.2,3515.571,0.182429,0.1114
485,472863,ASASSN-V J115257.10-540056.1,RRC,0.2264,14.15,3724.407,0.2814,0.0168
486,AP41782431,ASASSN-V J105701.13-385232.6,RRC,0.4933,13.79,1876.948,0.288261,0.0147
487,AP35430874,ASASSN-V J183551.36+222223.0,RRC,0.5537,13.26,1776.235,0.26583,0.0219
488,AP49237476,ASASSN-V J121526.90-660051.8,RRC,0.6095,12.52,1568.05,0.421411,0.0112
489,AP36067994,ASASSN-V J043428.18-802901.8,RRC,0.0351,15.6,7106.453,0.387147,0.0256
490,AP59515453,ASASSN-V J181328.53-404817.0,RRC,0.0802,14.77,6294.369,0.350874,0.038
491,53792186,ASASSN-V J125559.30-603302.4,RRC,0.9159,13.56,1047.934,0.218969,0.0148
492,AP51621499,ASASSN-V J174603.28-493108.7,RRC,0.1329,14.4,5407.079,0.33264,0.0249
493,AP49365064,ASASSN-V J134501.04-622948.5,RRC,0.311,14.69,2864.187,0.215835,0.0267
494,AP38177009,ASASSN-V J093549.94-743841.5,RRC,0.0984,14.69,6502.328,0.305231,0.0183
495,AP59705534,ASASSN-V J183048.10-361146.2,RRC,0.1505,14.84,5012.678,0.320687,0.0295
496,560104,ASASSN-V J081814.44-790325.2,RRC,0.1726,14.72,4610.114,0.30811,0.0166
497,AP49326640,ASASSN-V J133036.83-660551.1,RRC,0.465,11.61,1947.537,0.407164,0.016
498,AP38150844,ASASSN-V J084450.63-770417.1,RRC,0.0782,15.88,7223.627,0.355959,0.0263
499,AP36196386,ASASSN-V J053833.40-772304.4,RRC,0.283,15.41,3141.062,0.235655,0.0215
500,AP48387492,ASASSN-V J154911.79-585336.5,RRC,0.3288,14.13,2689.164,0.204888,0.0176
501,AP42960454,ASASSN-V J071109.06-543839.2,RRC,0.2434,15.11,3501.245,0.439157,0.0211
502,521808,ASASSN-V J082625.37-542543.3,RRC,0.3194,13.88,2808.393,0.24431,0.0133
503,56290159,ASASSN-V J152009.67-242913.6,RRC,0.1505,14.79,4800.676,0.32209,0.0324
504,AP47929265,ASASSN-V J170321.01-660609.7,RRC,0.2704,14.68,3146.411,0.266999,0.0252
505,467520,ASASSN-V J235944.77-114520.0,RRC,0.1843,14.64,3765.238,0.34599,0.0331
506,463534,ASASSN-V J190803.51+244737.4,RRC,0.2704,14.35,3204.811,0.23552,0.0154
507,AP36690828,ASASSN-V J054455.11-575355.2,RRC,0.25783,14.13,3348.97,0.249666,0.02843
508,AP32181225,ASASSN-V J183924.18+063536.0,RRC,0.1282,13.82,5761.437,0.226628,0.0188
509,AP38165014,ASASSN-V J084631.63-750248.8,RRC,0.1257,14.81,5684.84,0.313228,0.0171
510,487250,ASASSN-V J150810.64-704220.9,RRC,0.2567,13.82,3378.288,0.24896,0.0131
511,AP38131626,ASASSN-V J074219.93-762755.0,RRC,0.3399,13.28,2679.888,0.208011,0.011
512,454281,ASASSN-V J181624.18+200548.5,RRC,0.1926,14.52,4275.918,0.27669,0.019
513,AP38198021,ASASSN-V J090603.10-715113.6,RRC,0.7908,13.86,1204.966,0.332475,0.0186
514,AP19443417,ASASSN-V J054510.89-135552.3,RRC,1.3492,12.24,638.1417,0.295261,0.4358
515,AP54062240,ASASSN-V J135133.20-551252.3,RRC,0.4921,13.46,1707.846,0.256681,0.2126
516,560041,ASASSN-V J004712.29-623305.2,RRC,0.1114,15.47,5261.034,0.35596,0.024
517,AP37958830,ASASSN-V J060627.67-841159.0,RRC,0.1791,14.25,4432.395,0.285058,0.0148
518,50201166,ASASSN-V J144152.16-525903.8,RRC,0.5851,13.88,1601.425,0.29274,0.0173
519,AP53231805,ASASSN-V J164958.09-324605.7,RRC,0.6801,13.85,4005.056,0.40271,0.2341
520,AP38939965,ASASSN-V J102805.23-660210.7,RRC,0.3047,15,2915.885,0.297465,0.0197
521,452076,ASASSN-V J172830.28-611628.4,RRC,0.1186,15.2,5275.424,0.33679,0.0332
522,AP50994597,ASASSN-V J170201.60-542104.7,RRC,0.1914,13.87,4088.245,0.250363,0.024
523,AP42845512,ASASSN-V J070055.53-590310.7,RRC,5.1592,13.49,193.3583,0.392664,0.1771
524,AP59145846,ASASSN-V J183818.32-471426.2,RRC,0.1314,15.52,5243.359,0.326466,0.0359
525,458996,ASASSN-V J190351.26-213515.8,RRC,0.1168,14.68,5474.414,0.41608,0.0262
526,AP60770906,ASASSN-V J200407.23-174431.2,RRC,0.151,14.88,4336.889,0.264309,0.0272
527,AP38912726,ASASSN-V J093049.24-642020.4,RRC,0.3362,13.6,2688.317,0.447696,0.0127
528,470168,ASASSN-V J195534.07-802914.9,RRC,0.2141,14.57,3962.169,0.38264,0.0172
529,AP36672349,ASASSN-V J045706.52-593246.5,RRC,0.4594,13.98,2021.6,0.414892,0.0128
530,450297,ASASSN-V J184459.35-441511.2,RRC,0.1494,14.34,5347.259,0.41893,0.0203
531,AP32796237,ASASSN-V J185046.04+100123.1,RRC,0.2414,14.71,4490.884,0.367798,0.1187
532,454284,ASASSN-V J180931.52+204027.3,RRC,0.1709,14.52,4556.375,0.27517,0.017
533,AP55198522,ASASSN-V J122201.86-502651.8,RRC,1.0133,13.79,945.1328,0.207585,0.0854
534,10519219,ASASSN-V J202409.23+231723.5,RRC,0.2246,15.37,3345.917,0.190307,0.0651
535,AP37957483,ASASSN-V J070630.22-842418.0,RRC,0.0531,15.69,8812.452,0.350213,0.0289
536,456906,ASASSN-V J200718.69-770051.0,RRC,0.2003,14.05,4181.731,0.27098,0.014
537,AP40041853,ASASSN-V J082604.76-600058.1,RRC,0.2576,15.31,3400.083,0.406421,0.0219
538,AP42907291,ASASSN-V J072259.88-565917.7,RRC,1.9114,14.84,513.8098,0.305167,0.0153
539,488785,ASASSN-V J174953.54-503652.5,RRC,0.274,13.72,3146.637,0.34208,0.016
540,AP30799154,ASASSN-V J191942.84-085539.9,RRC,0.6051,13.73,1531.332,0.330748,0.0177
541,AP38835016,ASASSN-V J092236.88-682643.2,RRC,1.2643,12.1,772.7851,0.394308,0.0151
542,31990411,ASASSN-V J190718.59+033915.8,RRC,0.2863,11.36,3091.271,0.18484,0.0237
543,AP36640123,ASASSN-V J055644.59-652835.7,RRC,0.4618,13.66,2014.672,0.350765,0.0117
544,AP28385894,ASASSN-V J185137.43-210622.2,RRC,0.1734,15.52,4274.44,0.227117,0.0431
545,AP49434241,ASASSN-V J141558.56-584827.3,RRC,0.444,15.22,2649.628,0.222471,0.1356
546,453815,ASASSN-V J173420.35+101947.8,RRC,0.0752,16.19,6757.457,0.36188,0.0407
547,AP27896909,ASASSN-V J173549.92-342430.2,RRC,0.7308,14.8,1289.383,0.430335,0.0251
548,AP51319750,ASASSN-V J162144.23-500057.6,RRC,0.9665,14.87,992.7272,0.191142,0.0284
549,AP59203672,ASASSN-V J183159.05-461521.1,RRC,0.2451,13.36,3438.019,0.332431,0.0158
550,AP4201005,ASASSN-V J045559.22+702901.0,RRC,0.9663,12.58,1020.149,0.232912,0.0179
551,458622,ASASSN-V J035034.82-120614.7,RRC,0.0784,15.11,6817.927,0.29675,0.0277
552,471437,ASASSN-V J203310.42+254902.9,RRC,0.2196,14.4,3913.374,0.25056,0.0199
553,476036,ASASSN-V J013201.50+645925.3,RRC,1.1432,13.89,850.6891,0.2535,0.0128
554,AP53965719,ASASSN-V J125633.40-565528.0,RRC,0.2261,14.84,3392.656,0.392362,0.0404
555,AP38112561,ASASSN-V J083517.76-762658.5,RRC,0.2975,15.21,2951.232,0.285764,0.0206
556,AP59464143,ASASSN-V J182838.27-405947.6,RRC,0.1123,15.17,5760.772,0.291218,0.03
557,AP40038500,ASASSN-V J093056.50-493409.4,RRC,0.6698,15.36,1414.166,0.244043,0.023
558,AP39394504,ASASSN-V J082641.00-680533.9,RRC,0.2978,14.89,2961.397,0.273543,0.0256
559,AP60104004,ASASSN-V J193303.73-270217.1,RRC,1.2025,13.63,955.7062,0.204495,0.554
560,AP39539085,ASASSN-V J071117.50-613357.4,RRC,0.1801,15.56,4363.668,0.415435,0.0232
561,AP52364998,ASASSN-V J155023.40-500605.6,RRC,0.1495,15.24,5729.723,0.194948,0.0666
562,AP43093942,ASASSN-V J070634.95-523143.5,RRC,0.4621,13.72,2018.564,0.418305,0.0125
563,469287,ASASSN-V J211203.06-723938.0,RRC,0.221,14,3672.386,0.31786,0.0197
564,515456,ASASSN-V J212129.89+520344.5,RRC,0.6064,14.31,1571.103,0.41497,0.0138
565,AP59724041,ASASSN-V J183420.41-333426.3,RRC,0.5038,12.93,1805.328,0.460886,0.0154
566,AP29742558,ASASSN-V J171319.28-170205.4,RRC,0.1728,14.62,4622.01,0.341396,0.0248
567,457169,ASASSN-V J014533.69+450738.6,RRC,0.0847,14.69,6357.239,0.3578,0.0279
568,451542,ASASSN-V J213026.63+121148.6,RRC,0.1249,15.58,4833.915,0.396,0.0347
569,AP41770571,ASASSN-V J104238.89-393534.8,RRC,0.31,14.17,2825.898,0.337106,0.0172
570,AP49167395,ASASSN-V J130936.51-650817.7,RRC,0.861,13.86,3616.274,0.215789,0.3742
571,AP39526031,ASASSN-V J065724.33-643441.6,RRC,0.1026,15.65,6168.294,0.302585,0.024
572,AP50823016,ASASSN-V J170141.59-571845.9,RRC,0.2138,14.37,3969.142,0.206955,0.0322
573,AP45490329,ASASSN-V J083343.57-332419.4,RRC,1.4715,13.77,670.963,0.180652,0.1543
574,AP40071731,ASASSN-V J081944.60-565147.0,RRC,0.3714,14.36,2313.69,0.376403,0.0711
575,8908519,ASASSN-V J145210.91+643425.9,RRC,0.1138,14.56,7108.112,0.32613,0.0154
576,AP53234068,ASASSN-V J164454.95-325358.0,RRC,1.5708,12.28,627.3548,0.321425,0.189
577,488153,ASASSN-V J191906.30-181541.4,RRC,0.0778,15.19,6704.712,0.27514,0.0312
578,AP13556317,ASASSN-V J225412.67+582152.3,RRC,0.1832,14.45,4911.434,0.183642,0.0274
579,AP15539631,ASASSN-V J221753.27+593630.3,RRC,0.8415,12.45,1168.986,0.38729,0.0111
580,AP38257142,ASASSN-V J085243.22-690743.8,RRC,0.3346,15.02,2737.275,0.240192,0.0262
581,514895,ASASSN-V J182731.83+074345.8,RRC,0.1871,14.89,4256.106,0.26807,0.0254
582,AP4913720,ASASSN-V J023144.35+761943.1,RRC,0.2506,15.18,3364.271,0.326191,0.0192
583,462899,ASASSN-V J163752.95-115443.5,RRC,0.2518,14.72,3358.948,0.31722,0.0218
584,AP36655396,ASASSN-V J055729.15-603429.1,RRC,0.1752,14.34,4758.805,0.341051,0.0137
585,456009,ASASSN-V J061112.17+512350.9,RRC,0.1913,14.39,4143.339,0.30706,0.0205
586,AP54230395,ASASSN-V J123220.25-554649.4,RRC,0.942,11.56,1025.162,0.307978,0.0523
587,481024,ASASSN-V J141015.74-651254.7,RRC,0.4144,13.69,2218.084,0.3436,0.0217
588,AP60071447,ASASSN-V J190257.18-275755.2,RRC,0.2207,14.18,3740.972,0.367523,0.0209
589,475623,ASASSN-V J070416.96-391208.8,RRC,0.1885,14.21,4294.696,0.4127,0.013
590,484539,ASASSN-V J172758.77-140625.2,RRC,0.2847,14.76,3189.395,0.35907,0.0235
591,AP4418294,ASASSN-V J023751.33+632526.3,RRC,0.1687,14.88,4807.302,0.346235,0.0214
592,AP28661732,ASASSN-V J182331.66-214638.6,RRC,0.9174,10.58,1032.543,0.332803,0.0316
593,AP28626030,ASASSN-V J182148.33-234212.8,RRC,0.6629,13.57,1408.842,0.383112,0.0197
594,AP47804582,ASASSN-V J164222.85-711359.9,RRC,0.1691,14.34,4624.68,0.368503,0.0158
